stratum,va_type,level,experiment,null_model,n_simulations,n_reference,n_predicted,observed_csmf_accuracy,null_mean,null_sd,null_p2_5,null_p50,null_p97_5,observed_minus_null_mean,observed_percentile_vs_null,empirical_p_sim_ge_observed
va_type,adult,level1,EXP3,stratum_physician_prior,1000,2453,2289,0.9478565756181259,0.9880131471166449,0.0061359998284938036,0.9742548920562109,0.9888787862239697,0.9967171572375128,-0.040156571498519034,0.0,1.0
va_type,adult,level1,EXP4,uniform_codes,1000,2453,2451,0.8960125595799147,0.59875016999864,0.01032706957583762,0.5795574382904938,0.59875016999864,0.6175363202094384,0.2972623895812747,1.0,0.000999000999000999
va_type,adult,level1,EXP4,overall_physician_prior,1000,2453,2451,0.8960125595799147,0.9018821088331294,0.010055290000423751,0.8811259307425541,0.9024733102135183,0.9199875900992792,-0.005869549253214701,0.266,0.7342657342657343
va_type,adult,level1,EXP4,stratum_physician_prior,1000,2453,2451,0.8960125595799147,0.9883246037331701,0.005957039575151823,0.9745014917380661,0.9891935264517884,0.9971175030599755,-0.09231204415325545,0.0,1.0
va_type,adult,level2,EXP1,uniform_codes,1000,2453,2453,0.8956379942927029,0.40666884176182705,0.007672575771363193,0.39110929853181076,0.4066068515497554,0.4212887438825448,0.4889691525308758,1.0,0.000999000999000999
va_type,adult,level2,EXP1,overall_physician_prior,1000,2453,2453,0.8956379942927029,0.8354261827079935,0.008859993229263211,0.818515497553018,0.8352365415986949,0.8527732463295269,0.06021181158470934,1.0,0.000999000999000999
va_type,adult,level2,EXP1,stratum_physician_prior,1000,2453,2453,0.8956379942927029,0.9679584013050572,0.005899811353869499,0.9543230016313213,0.9685970636215334,0.9779771615008157,-0.07232040701235432,0.0,1.0
va_type,adult,level2,EXP2,uniform_codes,1000,2453,2447,0.8431099688446013,0.40655934523146836,0.0076789483953024085,0.3910480698141547,0.4065920183251989,0.42172036571731797,0.43655062361313296,1.0,0.000999000999000999
va_type,adult,level2,EXP2,overall_physician_prior,1000,2453,2447,0.8431099688446013,0.8351105390227137,0.009439291597585608,0.816832493228383,0.83524720818714,0.8536153984870778,0.007999429821887616,0.807,0.1938061938061938
va_type,adult,level2,EXP2,stratum_physician_prior,1000,2453,2447,0.8431099688446013,0.9681676364373328,0.0059247181018927874,0.955957114647826,0.9686799796801491,0.9787959554963264,-0.12505766759273151,0.0,1.0
va_type,adult,level2,EXP3,uniform_codes,1000,2453,2289,0.8608469190194619,0.40696225564922534,0.0077155836316490905,0.39145940190584516,0.4067561577214811,0.42220984537011896,0.45388466337023653,1.0,0.000999000999000999
va_type,adult,level2,EXP3,overall_physician_prior,1000,2453,2289,0.8608469190194619,0.8346607533939537,0.009512597624822306,0.8152642799415888,0.8346985583224116,0.852972408825242,0.02618616562550813,0.996,0.004995004995004995
va_type,adult,level2,EXP3,stratum_physician_prior,1000,2453,2289,0.8608469190194619,0.9669072169044518,0.006306578770687653,0.9541041647513429,0.9671261840264489,0.978158417946103,-0.10606029788498994,0.0,1.0
